upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
68826704735,Nature's Promise Organic Baby Carrots,1.89,1 LB BAG,Nature's Promise,,Produce,2098,2025-06-10T11:09:56.644767
4129,Fuji Apples,1.52,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.645661
84043710063,Seedless Green Grapes,6.99,APX 2 LB,USDA Produce,,Produce,2098,2025-06-10T11:09:56.646532
3338322231,Organic Blueberries,5.99,6 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:56.647380
7143000806,Dole Classic Caesar Salad Kit,3.49,10 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:56.648208
3507,Cosmic Crisp Apples,1.59,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.649047
4130,Pink Lady Apples,1.91,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.649885
4662,Shallots,0.69,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.650740
68826707189,Giant Cut Celery Sticks,2.99,16 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:09:56.651590
88577303202,Seedless Cucumbers - 3 ct,5,3 CT PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:59.939703
4416,Anjou Pears,1.21,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.941022
68826713790,Giant Seedless Navel Oranges,4.99,4 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.942024
84043710072,Seedless Red Grapes,6.99,APX 2 LB,USDA Produce,,Produce,2098,2025-06-10T11:09:59.942996
68826714900,Giant Matchstix Carrots (Shredded Carrots),2.49,10 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.943953
4079,Cauliflower,2.89,1 HEAD,USDA Produce,,Produce,2098,2025-06-10T11:09:59.944901
68826703190,Giant Russet Potatoes,4.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.945845
3423,Variety Heirloom Tomatoes,1.82,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.946789
7143001066,Dole Classic Coleslaw,2.69,14 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.947728
4663,White Onions,1.44,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.948668
75166610305,NatureSweet Glorys Cherry Tomatoes,3.99,10 OZ PKG,NatureSweet,,Produce,2098,2025-06-10T11:09:59.949611
7143000084,Dole Chopped Caesar Salad Kit,3.49,10.6 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.950551
7143001702,Dole Premium Ultimate Caesar Salad Kit,3.49,11.3 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.951655
68826715453,Nature's Promise Organic Baby Spinach,3,5 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:09:59.952632
75166677605,NatureSweet Cherubs Salad Grape Tomatoes,5.99,24 OZ PKG,NatureSweet,,Produce,2098,2025-06-10T11:09:59.953626
75166641405,NatureSweet Constellation Cherry & Grape Tomatoes,4.99,16.5 OZ PKG,NatureSweet,,Produce,2098,2025-06-10T11:09:59.954570
3421,Seedless Mini Watermelon,4.49,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.955493
68826714086,Giant Fresh Cut Brussels Sprouts,3.49,12 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:09:59.956416
4016,Red Delicious Apples,1.41,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.957339
3338353303,Giant Yellow Potatoes,3.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.958265
68826759342,Giant Honeycrisp Apples,9.99,4 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.959172
4069,Green Cabbage,3.5,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.960057
4036,Yellow Nectarines,1.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.960943
7143000035,Dole Chopped Sesame Asian Salad Kit,3.49,12.25 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.961833
68826704392,Giant Peeled Baby Cut Carrots,2.39,2 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.962733
68826755002,Giant Broccoli Florets Family Size,6.49,32 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.963654
7143000964,Dole Baby Spinach,3.49,5 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.964549
